id,make,model,year,fuelType1,drive,trany,VClass,cylinders,displ,speeds,drive_number,avgMpg
41385,Hyundai,Veloster N,2020,Premium Gasoline,Front-Wheel Drive,Manual 6-spd,Compact Cars,4.0,2.0,6.0,2,30.71954
41386,Toyota,Sienna 2WD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Minivan - 2WD,6.0,3.5,8.0,2,27.370179999999998
41387,Toyota,Sienna AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S8),Minivan - 4WD,6.0,3.5,8.0,4,25.689999999999998
41388,Hyundai,Palisade FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Standard Sport Utility Vehicle 2WD,6.0,3.8,8.0,2,28.26075
41394,Aston Martin,Vantage V8,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Two Seaters,8.0,4.0,8.0,2,26.06488
41395,Audi,R8 AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (AM-S7),Two Seaters,10.0,5.2,7.0,4,19.273989999999998
41396,Lamborghini,Huracan,2020,Premium Gasoline,All-Wheel Drive,Automatic (AM-S7),Two Seaters,10.0,5.2,7.0,4,18.442659999999997
41397,Lamborghini,Huracan Spyder,2020,Premium Gasoline,All-Wheel Drive,Automatic (AM-S7),Two Seaters,10.0,5.2,7.0,4,18.442659999999997
41400,Aston Martin,DB11 V12,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Minicompact Cars,12.0,5.2,8.0,2,22.44914
41401,Aston Martin,DB11 V8,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Minicompact Cars,8.0,4.0,8.0,2,26.05334
41402,Genesis,G70 AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.3,8.0,4,23.812759999999997
41403,Genesis,G70 RWD,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.3,8.0,2,24.73337
41405,Hyundai,Accent,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Compact Cars,4.0,1.6,6.0,2,43.76
41406,Hyundai,Elantra,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM7),Midsize Cars,4.0,1.4,7.0,2,48.709999999999994
41407,Kia,Sedona,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Minivan - 2WD,6.0,3.3,8.0,2,26.787699999999997
41408,Acura,RDX FWD,2020,Premium Gasoline,Front-Wheel Drive,Automatic (S10),Small Sport Utility Vehicle 2WD,4.0,2.0,10.0,2,31.939999999999998
41409,Acura,RDX FWD A-SPEC,2020,Premium Gasoline,Front-Wheel Drive,Automatic (S10),Small Sport Utility Vehicle 2WD,4.0,2.0,10.0,2,31.119999999999997
41410,Acura,RDX AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S10),Small Sport Utility Vehicle 4WD,4.0,2.0,10.0,4,30.74
41411,Acura,RDX AWD A-SPEC,2020,Premium Gasoline,All-Wheel Drive,Automatic (S10),Small Sport Utility Vehicle 4WD,4.0,2.0,10.0,4,30.17
41412,Hyundai,Kona AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (AM7),Small Sport Utility Vehicle 4WD,4.0,1.6,7.0,4,36.22
41420,Hyundai,Kona FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM7),Small Sport Utility Vehicle 2WD,4.0,1.6,7.0,2,38.83
41421,Hyundai,Kona FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 2WD,4.0,2.0,6.0,2,39.49261
41422,Hyundai,Kona AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 4WD,4.0,2.0,6.0,4,36.25234
41425,Chevrolet,Malibu,2020,Premium Gasoline,Front-Wheel Drive,Automatic 9-spd,Midsize Cars,4.0,2.0,9.0,2,33.7
41426,Genesis,G80 AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S8),Large Cars,6.0,3.8,8.0,4,25.663489999999996
41427,Genesis,G80 RWD,2020,Regular Gasoline,Rear-Wheel Drive,Automatic (S8),Large Cars,6.0,3.8,8.0,2,27.13017
41428,Cadillac,XT6 FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S9),Small Sport Utility Vehicle 2WD,6.0,3.6,9.0,2,26.04
41429,Cadillac,XT6 AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S9),Small Sport Utility Vehicle 4WD,6.0,3.6,9.0,4,25.52
41430,Subaru,Ascent,2020,Regular Gasoline,All-Wheel Drive,Automatic (AV-S8),Standard Sport Utility Vehicle 4WD,4.0,2.4,8.0,4,29.56465
41431,Subaru,Ascent Limited/Touring,2020,Regular Gasoline,All-Wheel Drive,Automatic (AV-S8),Standard Sport Utility Vehicle 4WD,4.0,2.4,8.0,4,28.33
41436,Hyundai,Elantra,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Midsize Cars,4.0,2.0,6.0,2,39.79
41437,Kia,Optima Hybrid,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM6),Midsize Cars,4.0,2.0,6.0,2,56.79
41438,Buick,Envision FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic 6-spd,Small Sport Utility Vehicle 2WD,4.0,2.5,6.0,2,32.07455
41439,Hyundai,Tucson FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 2WD,4.0,2.0,6.0,2,33.56391
41440,Hyundai,Tucson FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 2WD,4.0,2.4,6.0,2,32.63135
