title,release_date,original_language,genres,budget,revenue,runtime,year,Rated,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID
Flight,2012-11-02,en,Drama,31000000.0,161772375.0,138.0,2012.0,R,posters/Flight_2012_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.3,"380,038",tt1907668
Transporter 3,2008-11-26,en,Action-Thriller-Crime,30000000.0,109000000.0,104.0,2008.0,PG-13,posters/Transporter_3_2008_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.1,"178,798",tt1129442
"Suddenly, Last Summer",1959-12-22,en,Thriller-Drama-Mystery,3000000.0,9000000.0,114.0,1959.0,Approved,"posters/Suddenly,_Last_Summer_1959_photo.jpg","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,7.5,"17,740",tt0053318
Return to the Blue Lagoon,1991-08-02,en,Adventure-Drama,11000000.0,2807854.0,98.0,1991.0,PG-13,posters/Return_to_the_Blue_Lagoon_1991_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28.0,5.2,"21,961",tt0102782
Unhinged,2020-07-16,en,Action-Thriller,33000000.0,39238300.0,90.0,2020.0,R,posters/Unhinged_2020_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,6.0,"78,483",tt10059518
Enemy at the Gates,2001-03-14,en,Drama-War-History,68000000.0,96976270.0,131.0,2001.0,R,posters/Enemy_at_the_Gates_2001_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,7.5,"280,823",tt0215750
Spectre,2015-10-26,en,Action-Adventure-Thriller,245000000.0,880674609.0,148.0,2015.0,PG-13,posters/Spectre_2015_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.8,"471,700",tt2379713
Source Code,2011-03-30,en,Thriller-Science Fiction-Mystery,32000000.0,147332697.0,94.0,2011.0,PG-13,posters/Source_Code_2011_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,7.5,"558,880",tt0945513
Bad Lieutenant: Port of Call - New Orleans,2009-09-11,en,Drama-Crime,25000000.0,10589102.0,122.0,2009.0,R,posters/Bad_Lieutenant:_Port_of_Call_-_New_Orleans_2009_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,6.6,"81,718",tt1095217
From Dusk Till Dawn,1996-01-19,en,Horror-Action-Thriller-Crime,19000000.0,25836616.0,108.0,1996.0,R,posters/From_Dusk_Till_Dawn_1996_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,7.2,"346,391",tt0116367
