Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
06-2018,3794,813,3760,2026,18528,3170,1834,1101,1111,17,4395,486,997,326,2555,1129,1359,1976,3005,678,3956,2931,5912,2020,622,3646,583,1314,2352,766,2857,1399,6961,5498,502,4597,1730,1776,5726,521,4238,689,6262,14968,1350,264,1350,3864,519,2326,269
07-2018,4392,855,4093,2071,19990,3327,1984,1199,1083,11,4739,483,960,317,2715,1164,513,2036,3262,809,3886,3189,6179,2015,627,3782,709,1447,2423,774,2827,1360,7546,6248,520,5137,1810,1911,6096,573,4346,561,6405,15317,1408,266,1408,3970,425,2492,296
08-2018,4126,829,3984,2025,20343,3508,2012,1251,1078,18,4696,428,958,321,2601,1005,620,2228,3137,730,3516,2955,6054,1940,654,3951,614,1455,2515,739,2678,1416,7311,5382,444,5069,1818,1853,5981,540,4450,718,6600,15962,1441,295,1441,3782,564,2383,282
09-2018,3955,886,3951,1957,18727,3357,1859,1157,1085,24,4781,466,1038,319,2410,1058,1487,2046,3097,701,3857,3001,5754,1960,601,3774,597,1327,2548,664,2708,1306,6888,5536,435,4888,1609,1723,5845,488,4326,715,6239,15109,1309,266,1309,3765,585,2389,292
10-2018,3765,810,3685,2122,19948,3095,1830,1150,1078,0,5026,429,963,318,2386,1015,614,2020,2983,624,4439,2841,5688,1888,670,3658,577,1546,2371,633,2559,1169,6531,5482,475,4779,1629,1684,6174,455,4544,527,5998,15504,1301,242,1301,3699,464,2360,259
11-2018,3037,828,3408,1843,17439,2963,1696,961,1004,0,4416,406,957,311,2044,857,630,1937,2719,601,3774,2575,5331,1854,619,3198,550,1315,2047,608,2431,1199,5912,4745,429,4229,1365,1664,5439,419,3839,556,5407,13479,1176,235,1176,3393,470,2198,222
12-2018,3124,858,3368,1660,17891,3093,1558,1118,1067,151994,4295,401,1100,291,2156,901,1584,1909,2885,595,3717,2626,5348,1785,542,3413,576,1112,2296,598,2599,1161,5822,4216,401,4350,1583,1749,5639,435,3883,549,5776,14019,1298,231,1298,3670,516,2220,254
01-2019,2899,816,3481,1995,18054,3107,1718,1070,999,19,4351,478,1087,261,2329,1229,1199,2028,3061,616,3912,2573,5908,2018,701,3489,578,1247,2309,595,2576,1318,6057,4187,414,4346,1720,1774,5809,429,4091,572,5939,14950,1295,262,1295,3749,489,2190,282
02-2019,2675,718,3149,1658,16710,2801,1510,924,898,17,4033,393,980,263,2064,1115,1321,1774,2975,614,3637,2341,5343,1778,625,3135,561,1019,2018,530,2253,1061,5541,4494,407,3997,1370,1566,4996,418,3821,469,5320,13828,1195,247,1195,3120,463,2004,259
03-2019,3039,863,3671,1903,18037,3010,1667,1030,1108,20,4990,394,1146,266,2257,1364,2352,1859,3244,648,4139,2619,5509,2046,639,3514,571,1235,2438,632,2603,1294,6250,4883,462,4747,1578,1729,5477,497,4030,553,5638,14667,1342,267,1342,3705,534,2210,285
04-2019,3059,808,3879,2138,18829,3213,1691,1150,1055,15,4633,445,869,326,2177,1481,1536,2014,3178,646,4170,2536,5817,2141,691,3591,623,1286,2524,649,2531,1243,6342,5125,453,4776,1514,1809,6033,476,4145,575,6326,15775,1331,255,1331,3610,586,2333,243
05-2019,3150,868,4006,2214,19630,3083,1924,1218,1119,17,4662,479,1088,317,2616,1574,1653,2198,3339,750,4153,2907,6523,2308,677,3938,629,1304,2740,680,2762,1383,6955,5856,501,4898,1698,1963,6207,499,4507,644,6809,16471,1474,270,1474,3849,670,2517,250
